,Gender,Gt,Operative,SI,Score,k_Pt,k_SIt,k_ut,t
214,male,0.8754167935142377,True,0.0002767246816845768,44.44444444444444,0.01632449160680332,10000.00000000001,999.9999999999998,15628
215,male,1.0011672335780384,True,6.615321467306694e-05,78.94736842105263,0.6804933063081375,746.6162593054585,74.63358716557383,2397
216,female,0.8249344028583233,True,0.0005004309635621277,100.0,1.0,371.9744439981414,999.9999999999998,2546
217,male,0.9678058775024363,True,0.0001227997503049395,100.0,0.8954085674279953,517.3922344458188,125.13383866078429,1333
218,male,0.8485883285814269,True,0.0002907944602559642,80.95238095238095,0.19026159740809648,2203.5607069071784,43.6434031135143,9570
219,male,0.8966433557136655,True,9.143397341139744e-05,85.71428571428571,0.014195748635365766,100.00000000000004,134.12099406892676,597
221,male,0.8878680586267369,True,0.00016152606838645207,67.74193548387096,1.0,1202.7340438088638,168.35915048436595,4538
222,male,0.7977290787766739,True,0.0001502216945757782,83.33333333333334,3.748318091492459e-05,3039.954223174872,0.08327447319464831,708
223,male,0.9123404608690258,True,6.787821500106223e-05,100.0,4.636678694543506e-06,100.00000000000004,53.78109354883922,5786
224,male,0.8396489437139262,True,0.00024256171791220234,88.0,1.0,463.2803274401031,604.8502284403872,3393
225,male,1.1229174969189888,True,9.993466534901415e-05,80.0,3.434942108738763e-06,10000.00000000001,111.06087995375158,318
226,male,-inf,True,0.0001267083271334406,65.27777777777779,1.0,635.0430469671334,999.9999999999998,9656
227,male,0.8636180302875057,True,0.00013612212563012205,100.0,9.022108534247698e-05,536.3520080784353,0.015463608791302328,403
228,female,0.8617824999889762,True,0.00026284709267478156,57.77777777777777,0.009539747462021101,10000.00000000001,999.9999999999998,7486
229,male,0.990089644755527,True,3.3444100177789736e-05,100.0,0.015704869484617346,1882.6206391967314,0.0015002520666443416,455
230,male,0.8549587419096357,True,0.00012643251402517263,100.0,0.0030708824050426626,100.00000000000004,44.571513379867426,1704
231,male,0.8702371758257254,True,0.0001421856366446638,88.88888888888889,0.12744103193923925,461.86666955452677,34.572785917641696,1029
232,female,0.8501885585573122,True,0.0001669422746902115,100.0,0.0011202850354597386,112.06191946865255,4.283963799521105,534
234,male,0.8640971269091785,True,0.00022307751775847335,65.625,2.657113561681748e-06,10000.00000000001,999.9999999999998,4308
235,female,0.874449886236995,True,0.00012356834223704432,100.0,5.17143511499612e-06,173.52102907726334,20.4908815423186,590
236,male,0.9499920119525923,True,6.185083587903182e-05,92.3076923076923,2.7661840903239644e-05,10000.00000000001,0.05947560112595108,1193
237,male,0.9706322045668361,True,5.819542541053496e-05,75.0,2.5257109061058145e-06,10000.00000000001,999.9999999999998,1183
238,male,0.829483431589342,True,0.00016409034875166628,92.3076923076923,0.0137273076392054,154.43047182580622,25.995202705462876,1733
239,male,0.9714330224183152,True,0.00010643675087290364,90.0,0.06123940547677697,10000.00000000001,999.9999999999998,2473
241,male,1.101894754447159,True,3.220421037021693e-05,100.0,0.1212939452621734,100.00000000000004,53.26083719016913,1986
242,male,0.8298365871947103,True,0.0003228148909445073,79.16666666666666,1.0000000000000004e-06,10000.00000000001,50.36872111283261,3224
243,male,0.994535453122379,True,7.611266547102578e-05,100.0,0.00022875808973388893,10000.00000000001,999.9999999999998,1064
244,male,0.9095674705180194,True,0.00019388727274907605,44.827586206896555,0.018732100068094663,3693.728139082846,425.91608723608914,11726
245,male,1.0295115321219213,True,0.0001486874817216704,92.3076923076923,0.030027975603274665,111.23667717475033,19.921263746001355,784
246,male,1.0424033727367357,True,7.061800559959229e-05,0.0,0.0043692805482835615,100.00000000000004,0.15466667919811342,194
